Timestamp,instructions,cpu-cycles,branch-misses,L1-dcache-load-misses,l2_rqsts.miss,LLC-load-misses
     0.008603900,29141031,25923492,254310,300813,420855,10023
     0.008892860,931196,834261,2079,14807,14482,3590
