Timestamp,instructions,cpu-cycles,branch-misses,L1-dcache-load-misses,l2_rqsts.miss,LLC-load-misses
     0.011482311,28301522,38881308,247073,351576,493511,6962
     0.011727544,910500,638334,1974,14008,13053,435
